"Key","en","nl"
"yes","Yes","Ja"
"no","No","Nee"
"cancel","Cancel","Annuleren"
"help_err_not_recognized","The argument you gave is not a category or command. Use {0}help without an argument to get all the categories and commands.","De parameter die je meegaf is geen categorie of commando. gebruik {0}help voor een lijst van alle categoriën en commandos."
"help_info_category","Type `{0}help [category]` for more info on a category.","Gebruik `{0}help [categorie]` voor meer info over een categorie."
"help_info_command","Type `{0}help [command]` for more info on a command.","Gebruik `{0}help [commando]` voor meer info over een commando."
"help_info_arguments","<Arguments> are required.\n[Arguments] are optional.","<parameters> zijn verplicht.\n[parameters] zijn optioneel."
"help_brief","Print the help list.","Toon de help info."
"help_help","Print the help list\n\n\u2003[command or category] \u2003 The command or category you need help on.","Toon de help info\n\n\u2003[commando of categorie] \u2003 Het commando of de categorie waarover je meer info wilt."
"help_usage","\u2000[command or category]","\u2000[commando of categorie]"
"membercount_usage","[channel name]","[kanaal naam]"
"membercount_brief","Perform a member count.","Tel het aantal leden."
"membercount_help","Perform a member count.\n\nWithout parameter: Return the server member count.\n\nWith a channel name: Return a count of all members currently in the given channel.\n\nWith parameter 'online': Return all members currently online.","Tel het aantal leden.\n\nZonder parameter: Tel het aantal leden in de server.\n\nMet een kanaal: Tel het aantal leden in dat kanaal.\n\nMet parameter 'online': Tel het aantal leden die momenteel online zijn."
"membercount_online_result","There are {0} people online in this server!","Er zijn momenteel {0} gebruikers online in deze server!"
"membercount_server_result","There are {0} people in {1}!","Er zitten momenteel {0} gebruikers in {1}!"
"membercount_channel_nonexistant","The provided channel does not exist, foemp!","Het kanaal dat je meegaf bestaat niet, foemp!"
"membercount_empty_channel","<#{0}> is empty, foemp!","<#{0}> is leeg, foemp!"
"membercount_single_person","There is 1 person in channel <#{0}>!","Er is 1 persoon aanwezig in <#{0}>!"
"membercount_channel_result","There are {0} people in channel <#{1}>!","Er zijn {0} mensen aanwezig in <#{1}>"
"list_err_does_not_exit","This list does not exist, foemp!","Deze lijst bestaat niet, foemp!"
"list_err_already_subscribed","<@{0}>, you are already subscribed to {1}, foemp!","<@{0}>, je ontvangt al notificaties voor {1}, foemp!"
"list_err_not_subscribed","<@{0}>, you are not subscribed to {1}, foemp!","<@{0}>, je ontvangt geen notificaties voor {1}, foemp!"
"list_subscribed","Subscribed <@{0}> to {1}.","<@{0}> ontvangt nu notificaties voor {1}."
"list_unsubscribed","Unsubscribed <@{0}> from {1}.","<@{0}> ontvangt niet langer notificaties voor {1}."
"list_err_empty","Nobody to notify, foemp!","Deze lijst is leeg, foemp!"
"notifying","**{0}** Notified by <@{1}>\n","Ahem, dit is {2} uit de montagekamer, willen de volgende personen zich op vraag van <@{1}> melden voor **{0}** a.u.b.\n"
"notify_message","With message: {0}","Met de volgende mededeling: {0}"
"notify_sub_usage","[list name]","[lijst naam]"
"notify_sub_brief","Subscribe to one or more list(s).","Abonneer op een of meerdere lijsten."
"notify_sub_help","Subscribe to list(s)\n\nWithout a list name: you get an overview of all the lists with the corresponding emoji's. \nClick the emoji to subscribe to the corresponding list. \nClick the emoji again to unsubscribe from the corresponding list.\n\n With a list name: you will be subscribed to that list.","Abbonneer om notificaties te ontvangen\n\nZonder lijst: Je krijgt een overzicht van alle lijsten met de overeenkomstige emoji's.\nKies de emoji die overeenkomt met de gewenste lijst om je aan of af te melden\n\nMet lijst: Je zal notificaties ontvangen voor de gekozen lijst."
"notify_unsub_usage","<list name>","<lijst naam>"
"notify_unsub_brief","Unsubscribe from a list.","Zeg je abonnement voor een lijst op."
"notify_unsub_help","Unsubscribe from a list.\n\n<list name> \u2003 The name of the list to unsubscribe from.","Zeg je abonnement voor een lijst op.\n\n<lijst naam> \u2003 De lijst waarvan je niet langer notificaties wenst te ontvangen."
"notify_notify_usage","<list name> [message]","<lijst naam> [bericht]"
"notify_notify_brief","Notify a list of people.","Verstuur een melding naar een van de lijsten."
"notify_notify_help","Notify a list \n\n<list name>\u2003 The name of the list to notify.\n[message]\u2003 Your message to be included with the notify. \n\n **IMPORTANT: The people in this list will be mentioned. Use this wisely!**","Verstuur een melding naar een van de lijsten.\n\n<lijst naam>\u2003 De naam van de lijst waarnaar je een melding stuurt.\n [bericht]\u2003 Het bericht dat de users te zien krijgen. \n\n **BELANGRIJK: Gebruik voorzichtig! Alle abonnementen op deze lijst zullen een melding ontvangen!**"
"notify_show_lists_brief","Show all the existing lists.","Toon alle bestaande lijsten."
"notify_show_lists_help","Show all the lists with the corresponding emoji's. \nClick the emoji to subscribe to the specific list. \nClick the emoji again to unsubscribe from the specific list.","Toon alle bestaande lijsten met overeenkomstige emoji.\nKlik op een emoji om je aan of af te melden voor de overeenkomstige lijst."
"lists","Lists","Lijsten"
"no_existing_lists","No lists exist yet, foemp!","Er zijn nog geen lijsten, foemp!"
"notify_my_lists_help","Get an overview of the lists you are subscribed to.","Toon een overzicht van de lijsten waarvoor je bent aangemeld."
"your_lists_title","You are subscribed to:","Je bent aangemeld voor notificaties van:"
